IP,Timestamp,HTTP_Method,URL,HTTP_Status,User_Agent,Referrer,Request_Size_Bytes,Response_Size_Bytes,Session_ID,City
103.40.234.168,2024-02-12 19:40:09,PUT,/checkout,403,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_8; rv:1.9.3.20) Gecko/7371-07-20 18:02:41 Firefox/3.6.19,http://www.huang-cooper.com/,767,2186,d38d2520-0dc9-4677-af10-29329bc287b9,İzmir
202.139.162.161,2024-04-21 04:17:49,PUT,/home,301,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; ps-AF) AppleWebKit/531.26.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6531.26.4",http://payne.biz/,1202,2813,c1c58b10-c948-441d-bf07-f909c404ea28,Tokyo
200.133.227.123,2024-02-19 21:56:53,GET,/about,500,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; ky-KG) AppleWebKit/532.49.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6532.49.1",http://www.gardner.biz/,959,792,55b83105-02f5-444f-b085-16e72be52014,Ankara
157.195.251.41,2024-06-23 13:17:34,POST,/products,403,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/5.0),http://alvarado-walker.com/,731,4710,8fdb7469-1e0a-4ac4-9548-2969aefd84c5,İzmir
142.131.0.192,2024-02-01 17:10:07,DELETE,/home,500,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_0 rv:6.0; es-EC) AppleWebKit/532.33.2 (KHTML, like Gecko) Version/5.0.5 Safari/532.33.2",http://murray-adams.com/,948,3138,4b88da64-f9e5-4cc2-84d7-8c880b340625,New York
173.98.167.150,2024-01-04 23:06:19,GET,/profile,404,"Mozilla/5.0 (iPhone; CPU iPhone OS 3_1_3 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) CriOS/15.0.804.0 Mobile/84H430 Safari/533.0",http://www.mendoza.com/,582,3302,d7cb2cf6-b98b-428f-80c8-6d0a89ed5dbe,Tokyo
79.30.195.237,2024-02-06 09:05:42,GET,/contact,301,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0),http://washington-thompson.com/,1184,558,25df0844-bf53-44f8-8dcb-305ade946ae8,Edirne
22.89.38.90,2024-05-22 06:14:13,PUT,/services,200,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/4.0),https://www.sullivan.com/,312,881,9780a16c-eadf-4d8f-8c97-b1b3012c19cd,Bursa
195.141.232.175,2024-06-11 16:00:40,PUT,/blog,500,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/532.21.3 (KHTML, like Gecko) Version/4.0 Safari/532.21.3",https://hayes.com/,877,3277,7592a3dd-7961-4308-adba-3d0a5f47e1cd,Berlin
92.197.57.254,2024-03-09 07:54:58,GET,/home,200,Opera/8.60.(X11; Linux i686; hsb-DE) Presto/2.9.182 Version/12.00,https://www.nelson-castillo.info/,931,2653,3a165d80-0173-47d3-8534-316f4152560c,New York
104.183.230.182,2024-06-05 02:45:55,PUT,/search,500,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; ms-MY) AppleWebKit/532.2.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6532.2.7",https://www.chapman.com/,1139,4848,35015d43-30be-4b2f-bd4b-53528efa23e6,Berlin
130.36.203.119,2024-02-23 20:16:02,POST,/login,403,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/3605-01-20 17:45:40 Firefox/3.8,https://www.brown.com/,1935,836,c85eeb58-7cbe-412d-b464-c2f3a6b78009,Londra
197.57.162.58,2024-02-25 18:55:09,GET,/about,301,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; apn-IN) AppleWebKit/531.16.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6531.16.5",https://www.carlson.com/,1456,3576,4ec27b2a-b79d-4900-b9d0-da88787b69aa,New York
196.138.166.226,2024-02-05 03:28:13,PUT,/cart,404,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/5878-04-20 03:20:10 Firefox/3.6.7,http://roberts.com/,397,889,aff37af0-c7cb-44a9-b25d-81828adbe61a,İstanbul
16.160.176.115,2024-04-16 01:42:56,DELETE,/products,500,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/4.1),https://morris.com/,1962,3567,7f721d92-5538-4054-8029-739de797fd4d,Edirne
1.2.63.126,2024-04-13 05:33:46,POST,/profile,301,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/4.1),http://ayers.com/,1678,269,66cb0731-62f7-49b5-a18e-8024e9217ee4,Berlin
23.187.105.214,2024-04-27 14:41:41,DELETE,/cart,200,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/9412-06-09 17:29:01 Firefox/8.0,http://carrillo-taylor.com/,1437,374,b06f42be-0d74-4d75-bf3d-fb5d9e1e9e71,New York
